['shall suffer hunger'],"` But we must provide for the winter or else we shall suffer hunger , ' said the Cat .",,
['trembled horror blood'],"The youth trembled with horror , and his blood ran cold , yet he did not lose his courage ; but , holding the iron spear upright in his hand , he brought it down with all his might right through the monster 's lower jaw .",,
['lightning sprang horse'],Then quick as lightning he sprang from his horse before the Dragon had time to shut his mouth .,,
['warned dragon jaws'],"A fearful clap like thunder , which could be heard for miles around , now warned him that the Dragon 's jaws had closed upon the spear .",,
['dragon got teeth'],"When the youth turned round he saw the point of the spear sticking up high above the Dragon 's upper jaw , and knew that the other end must be fastened firmly to the ground ; but the Dragon had got his teeth fixed in the iron horse , which was now useless .",,
['hastened fasten chains'],The youth now hastened to fasten down the chains to the ground by means of the enormous iron pegs which he had provided .,,
['death struggle monster'],"The death struggle of the monster lasted three days and three nights ; in his writhing he beat his tail so violently against the ground , that at ten miles ' distance the earth trembled as if with an earthquake .",,
['beat dragon hard'],"When he at length lost power to move his tail , the youth with the help of the ring took up a stone which twenty ordinary men could not have moved , and beat the Dragon so hard about the head with it that very soon the monster lay lifeless before him .",,
['great rejoicing news'],You can fancy how great was the rejoicing when the news was spread abroad that the terrible monster was dead .,,
['pomp mightiest kings'],His conqueror was received into the city with as much pomp as if he had been the mightiest of kings .,,
['marry slayer dragon'],"The old King did not need to urge his daughter to marry the slayer of the Dragon ; he found her already willing to bestow her hand upon this hero , who had done all alone what whole armies had tried in vain to do .",,
['wedding celebrated rejoicings'],"In a few days a magnificent wedding was celebrated , at which the rejoicings lasted four whole weeks , for all the neighbouring kings had met together to thank the man who had freed the world from their common enemy .",,
['buried dragon monstrous'],"But everyone forgot amid the general joy that they ought to have buried the Dragon 's monstrous body , for it began now to have such a bad smell that no one could live in the neighbourhood , and before long the whole air was poisoned , and a pestilence broke out which destroyed many hundreds of people .",,
['help eastern magician'],"In this distress , the King 's son-in-law resolved to seek help once more from the Eastern magician , to whom he at once travelled through the air like a bird by the help of the ring .",,
['prince stolen ring'],"But there is a proverb which says that ill-gotten gains never prosper , and the Prince found that the stolen ring brought him ill-luck after all .",,
['night day ring'],The Witch-maiden had never rested night nor day until she had found out where the ring was .,,
['magician changed eagle'],"As soon as she had discovered by means of magical arts that the Prince in the form of a bird was on his way to the Eastern magician , she changed herself into an eagle and watched in the air until the bird she was waiting for came in sight , for she knew him at once by the ring which was hung round his neck by a ribbon .",,
['eagle pounced bird'],"Then the eagle pounced upon the bird , and the moment she seized him in her talons she tore the ring from his neck before the man in bird 's shape had time to prevent her .",,
